ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-02-01,50.35599568,40.17963928944407,79.12254812341195,50.35599568,50.35599568,9.89575232113203,9.89575232113203,9.89575232113203,9.89575232113203,9.89575232113203,9.89575232113203,0.0,0.0,0.0,60.25174800113203
2018-03-01,50.694868414241434,38.3034826865691,74.88119235807346,50.694868414241434,50.694868414241434,5.782554049824273,5.782554049824273,5.782554049824273,5.782554049824273,5.782554049824273,5.782554049824273,0.0,0.0,0.0,56.477422464065704
2018-04-01,51.0700489414373,35.74707842925512,75.24805707827868,51.0700489414373,51.0700489414373,5.0622211677024,5.0622211677024,5.0622211677024,5.0622211677024,5.0622211677024,5.0622211677024,0.0,0.0,0.0,56.1322701091397
2018-05-01,51.43312687071697,38.441243061238744,76.03445328754219,51.43312687071697,51.43312687071697,6.093165918863135,6.093165918863135,6.093165918863135,6.093165918863135,6.093165918863135,6.093165918863135,0.0,0.0,0.0,57.526292789580104
2018-06-01,51.80830739763928,39.38530442182775,78.36837058624667,51.80830739763928,51.80830739763928,6.760269133145036,6.760269133145036,6.760269133145036,6.760269133145036,6.760269133145036,6.760269133145036,0.0,0.0,0.0,58.56857653078432
2018-07-01,52.171385326913494,41.12324739993882,78.4606419207676,52.171385326913494,52.171385326913494,6.395633401960621,6.395633401960621,6.395633401960621,6.395633401960621,6.395633401960621,6.395633401960621,0.0,0.0,0.0,58.56701872887412
2018-08-01,52.54656585383018,37.035146442945724,74.95489900735024,52.54656585383018,52.54656585383018,4.203829734941271,4.203829734941271,4.203829734941271,4.203829734941271,4.203829734941271,4.203829734941271,0.0,0.0,0.0,56.750395588771454
2018-09-01,52.92174638074687,40.11511735690736,77.15286193240783,52.92174638074687,52.92174638074687,5.5226656038444935,5.5226656038444935,5.5226656038444935,5.5226656038444935,5.5226656038444935,5.5226656038444935,0.0,0.0,0.0,58.44441198459136
2018-10-01,53.28482430978255,39.61731711484083,79.92301671727417,53.28482430978255,53.28482430978255,6.0777004065440705,6.0777004065440705,6.0777004065440705,6.0777004065440705,6.0777004065440705,6.0777004065440705,0.0,0.0,0.0,59.36252471632662
2018-11-01,53.66000483645276,37.20365711671905,74.71605937798145,53.66000483645276,53.66000483645276,1.9789653456136804,1.9789653456136804,1.9789653456136804,1.9789653456136804,1.9789653456136804,1.9789653456136804,0.0,0.0,0.0,55.63897018206644
2018-12-01,54.02308276538794,31.64750861209325,70.33227847669723,54.02308276538794,54.02308276538794,-2.1310432967979356,-2.1310432967979356,-2.1310432967979356,-2.1310432967979356,-2.1310432967979356,-2.1310432967979356,0.0,0.0,0.0,51.892039468590006
2019-01-01,54.3982632919543,37.09071153129712,75.65562062379804,54.3982632919543,54.3982632919543,1.9006793442341254,1.9006793442341254,1.9006793442341254,1.9006793442341254,1.9006793442341254,1.9006793442341254,0.0,0.0,0.0,56.29894263618843
